summary,job_cat,timespent
Create API metode pengadaan khusus,Development,1.0
Membuat Question Tingkat pengangguran terbuka berdasarkan jenis kelamin,Development,8.0
Creating User Journey,Design,8.0
slicing modal add member superadmin,Development,8.0
Early Pentest Report Modul Bigscience,Technical Support,2.0
Create materi Bigvision Product Overview Ultimate,Technical Support,2.0
Melakukan Testing website Dashboard Bigvision dan mencari bug,Technical Support,4.0
meeting redesign web video analytics,Development,3.0
meeting  deployment websocket executive monitoring bigvision,Development,8.0
development crowd detection with new library golang bigvision,Development,4.0
Meeting executive summary cctv,Development,3.0
interaction component deactivate user management,Development,6.0
SQL Builder  Terjadi error pada saat melakukan search di modal view SQL Builder FE,Development,8.0
Improper CSRF Token Implementation,Development,8.0
update bigbuilder  ip whitelist bigenvelope inaproc lkpp,Development,2.0
Disable satker when filter bumn clicked Lkpp,Development,2.0
Restart NodeManagers on YARN service,Development,5.0
Update url Notification Service and host,Development,4.0
implement filter notification host,Development,8.0
Template Page Custom HTML  Social Media Analytics Dashboard,Development,4.0
Page Editor  terdapat portlet custom pada page editor seharusnya jangan dulu menampilkan portlet custom,Development,2.0
Slicing sidebar admin,Development,3.0
Discuss Flow Delivery project BPKP dan BNPB,Project Manager,4.0
Pengecekan data user stakeholder BPHMIGAS di dashboard pertamina,Project Manager,8.0
Pertamina Weekly Review Scrum Meeting,Project Manager,4.0
Meeting Campaign  CRM pembuatan list feedback dari customer Pembuatan konten,"Sales, Marketing & Community",11.0
Diskusi  Koordinasi WAD BSP,Finance,3.0
Koordinasi Juskeb BigSpider dg PMA,"Sales, Marketing & Community",3.0
Koordinasi kendala rapat penjelasa bigspider,Finance,2.0
Meeting Business Understanding Validasi Kriteria Churn Rate  Segmentasi CLV serta Data Understading untuk Data Enrichment,Technical Support,4.0
Pengenalan tim GTM BigBox dgn Pak Arikur,Technical Support,4.0
Rekap Lemburan tim Sales,Technical Support,4.0
 Meeting Bigbox X Infomedia SMG,"Sales, Marketing & Community",3.0
 Meeting Pemkot Pasuruan,"Sales, Marketing & Community",2.0
 Meeting Pemkab nganjuk,"Sales, Marketing & Community",2.0
 Meeting user need Pemkot Samarinda,"Sales, Marketing & Community",8.0
 Weekly meeting Regional TR,"Sales, Marketing & Community",8.0
        Preparation Presenting Rebranding AI DTP,Development,0.5
Integrasi Status Bekerja,Development,8.0
Slicing Program Bantuan,Development,8.0
QA Functionality BigBuilder,Development,8.0
API Widget Total Provinsi KabKota dan Kecamatan berpotensi Banjir,Data,8.0
Error BE Chatbot,Development,8.0
regsosek jira check jira regsosek input detailed task support launch produk,Project Manager,8.0
pasuruan rabu  juni   discuss persiapan paparan bigview ke lumajang,Project Manager,2.0
polda kaltim konfirmasi keyword bigsocial polda add to bigspider kalo belom ada yang belum masuk,Project Manager,1.0
regsosek senin  juni   stand up regsosek,Project Manager,1.0
regsosek screen record aplikasi padanan,Project Manager,1.0
regsosek input jira task additional regsosek dashboard loker,Project Manager,2.0
polda kaltim discuss ocr with mas adit dan mas yog,Project Manager,1.0
regsosek minta ke skala data dummy yg di deliver sebelum project untuk padanan,Project Manager,0.5
corcomm create  vm persis sama kayak  atau ,Project Manager,2.0
corcomm weekly gap data,Project Manager,6.0
Report Monthly Bapenda Jateng Mei ,Technical Support,8.0
testing background ops page,Development,8.0
Secondary Research v,Design,8.0
API  Unverified email on page signup,Development,8.0
initialization create iceberg,Development,8.0
Membuat Dashboard pendidikan page partisipasi pembelajaran terorganisir satu tahun sebelum usia sekolah dasar,Development,8.0
Membuat Question usia muda  tahun yang sedang tidak sekolah bekerja  mengikuti pelatihan,Development,8.0
Membuat Dashboard pendidikan page presentase guru yang memenuhi kualifikasi sesuai dengan standar nasional menurut jenjang pendidikan,Development,8.0
Weekly meeting DMM,"Sales, Marketing & Community",8.0
Prep report bahan weekly meeting dengan DMM,"Sales, Marketing & Community",8.0
 KAK BKPM dan Docs Citilink,Development,4.0
Riset Unique Selling Point Website BigBox,Technical Support,3.0
 Meeting Bigview UMY Jogja,"Sales, Marketing & Community",1.0
 Meeting LOP TR ,"Sales, Marketing & Community",6.0
API Menampilkan Data spasial peta,Data,8.0
interaction component active user management,Development,5.0
slicing active user management content,Development,8.0
Benchmark BigEnvelope with Bombardier,Development,8.0
Create video guide VMS Facepad,Technical Support,4.0
Riset harga API,Technical Support,8.0
Testing web VMS Polda Kaltim,Technical Support,4.0
present AI product bigbox to diskominfo samarinda,Development,8.0
Report Monthly KPPPA Mei ,Data,8.0
QA Custom Dashboard Loker,Development,8.0
Meeting Weekly Sales  Delivery all talent,Finance,3.0
Support Agenda ITDRI,Finance,2.0
Update fin  hc jun,Finance,1.0
FU PBTKP BSP dg para Chapter,Finance,2.0
Pengembalian Talent Chapter,Finance,2.0
Create PRD Development BigEnvelope ,Project Manager,8.0
corcomm rabu  juni   discuss with kang yosep terkait progress data mental dan validasi data,Project Manager,2.0
other rabu  juni   transfer knowledge ke ae baru,Project Manager,1.0
corcomm check mesin image to text yang diduga mati karena performansi menurun,Project Manager,1.0
other check jira sheet jira lama yang dari mas fikram,Project Manager,2.0
mentawai mapping team delivery mentawai,Project Manager,8.0
polda kaltim pelajarin ppt vms bigvision,Project Manager,2.0
polda kaltim selasa  juni   discuss vms with tim bigvision,Project Manager,1.0
regsosek solving issue all node mati di regsosek,Project Manager,8.0
regsosek kamis  juni   kunjungan bappenas itdri,Project Manager,8.0
regsosek fu integrasi python loker to bigspider,Project Manager,1.0
corcomm check readiness sna issue on bigsocial,Project Manager,1.0
regsosek screenshot aplikasi padanan,Project Manager,3.0
bnpb input task habib ke jira,Project Manager,1.0
Create API jenis  metode pengadaan swakelola,Development,2.0
Get Data Pertamina Pasti PAS Monthly,Data,4.0
Membuat Question proporsi kredit umkm terhadap total kredit,Development,8.0
Membuat Dashboard pendidikan page angka partisipasi murni APM dan angka partisipasi kasar APKMembuat Dashboard pendidikan page partisipasi kasar perguruan tinggi,Development,8.0
Virtual Table  ketika pengguna baru membuat virtual table menjadi harus melakukan refresh  untuk melihat list vitual table,Development,8.0
Develop new card jenis  metode pengadaan penyedia,Development,2.0
Pembahasan Digitalisasi Kalimantan by Afi,Technical Support,2.0
Mengumpulkan Rekaman Video Anomaly Activities,Technical Support,4.0
Sanity testing for release bigbuilder,Development,8.0
Update big envelope stg,Development,2.0
Implementasi schema baru load data,Development,4.0
update message move pada datalake ketika gagal melakukan move to datatables,Development,8.0
Menambahkan input search di dalam select filter page editor,Development,8.0
Create User Stories and Acceptance Criteria for BigEnvelope ,Project Manager,8.0
 Workshop  pembuatan Testimoni  pengisian monev ecatalog,"Sales, Marketing & Community",12.0
Support Absen TKP,Finance,1.0
Rekon PB Mnet,Finance,1.0
Support Meeting SLCL,Finance,3.0
Support Meeting PB Mnet,"Sales, Marketing & Community",8.0
 Input Order NCX Polda Riau Daratan,"Sales, Marketing & Community",4.0
 Input Order NCX Polda Kalimantan Timur,"Sales, Marketing & Community",2.0
 Meeting OBL BNPB,Development,4.0
 Meeting BigScience Pak Sigit,Development,2.0
 BigVision   set height to screen height,Development,0.5
API Program Bantuan,Data,8.0
Slicing Range salary,Development,8.0
Slicing Demografi Berdasarkan Kategori Umur,Development,8.0
Fixing bug  Error saat save bot,Development,8.0
corcomm create guideline cara menggunakan vpn  window version,Project Manager,8.0
regsosek rabu  juni   stand up support launch produk,Project Manager,1.0
regsosek request storage minio,Project Manager,1.0
lumajang check kesiapan platform bigview,Project Manager,1.0
other jumat  juni   discuss integrasi data melalui platform Denodo DiVi,Project Manager,2.0
other selasa  juni   coursera modul ,Project Manager,2.0
regsosek hitung progress scurve support project launch regsosek,Project Manager,1.0
pasuruan hitung progress scurve,Project Manager,1.0
regsosek cek dashboard loker page editor,Project Manager,1.0
corcomm rabu  juni   discuss checking bigsocial sna issue,Project Manager,2.0
regsosek create lld untuk flow py script loker ke bigspider,Project Manager,3.0
regsosek input jira rebuild dashboard fe only,Project Manager,3.0
regsosek follow up action plan untuk issue code yang hilang dan trace penyebabnya,Project Manager,1.0
polda kaltim rabu  juni   Prepare Giat Bimtek Sosial Media Polda Kaltim,Project Manager,1.0
polda kaltim jumat  juni   paparan singkat bigsocial,Project Manager,3.0
mentawai selasa  juni   discuss delivery mentawai,Project Manager,2.0
regsosek selasa  juni   stand up,Project Manager,2.0
regsosek mapping spek infra,Project Manager,2.0
regsosek laporan transfer knowledge,Project Manager,6.0
other input jira sales,Project Manager,2.0
Weekly Report Data Analytics Posindo,Technical Support,8.0
Query Prediksi Jumlah Siswa  Penduduk Usia Sekolah di Jawa Barat,Data,8.0
Modelling Jumlah Lab Sekolah,Data,12.0
Security enhancement  Medium  Clickjacking,Development,8.0
Check Rtsp cctv madiun,Technical Support,1.0
Meeting dengan IAS membahas sertifikasi ISO,Technical Support,2.0
Meeting Pembahasan renewal ISO,Technical Support,2.0
Custom Page  pointer tidak stabil dan sering terjadi delay ketika mengetik,Development,4.0
 Juni Implementasi penyesuaian design,Development,8.0
Slicing penyesuaian design create common sql rest api,Development,8.0
Discuss alignment domain inaproc,Development,1.0
Handle Login Invalid,Development,2.0
integrasi api filter host,Development,4.0
Daily Bigone Development,Project Manager,4.0
Kordinasi budget  Pencarian Vendor,"Sales, Marketing & Community",10.0
Pembuatan ads budget plan  Pembuatan content plan,"Sales, Marketing & Community",8.0
Meeting Sosialisasi CA,Finance,2.0
Collect Reimburse tim Sales,Technical Support,4.0
 Meeting Delivery Lumajang,"Sales, Marketing & Community",2.0
 Meeting LOP Witel Solo,"Sales, Marketing & Community",5.0
 Meeting PHRI Sleman,"Sales, Marketing & Community",2.0
 Meeting Penyesuaian Kebutuhan VMS Polda Kalimantan Timur,"Sales, Marketing & Community",4.0
 Meeting Delivery Polda Riau Daratan,"Sales, Marketing & Community",8.0
 Sales  delivery review,Development,8.0
Create Domain and pointing to newest app,Development,4.0
API Rekomendasi potensibahaya banjir tingkat Awas,Data,1.0
Pekerjaan Scrum  W Juni ,Technical Support,4.0
other selasa  juni   discuss jira with daffa,Project Manager,2.0
corcomm capacity planning and discuss improvement image to text with mas fikram,Project Manager,1.0
other minta bunda ismi sama mas gemps isi form untuk jira,Project Manager,0.25
corcomm jumat  juni   follow up hasil slicing fitur search  pagination dan hide faceboook demographic,Project Manager,1.0
corcomm rabu  juni   discuss terkait action plan untuk gap data,Project Manager,2.0
polda kaltim rekap credential access bigsocial dan vms bigvision,Project Manager,1.0
regsosek solving issue bigbuilder bug when create dashboard apps,Project Manager,1.0
polda kaltim discuss with bigvision terkait tambahan add on ktp scanner,Project Manager,1.0
polda kaltim kamis  juni   discuss tambahan ocr,Project Manager,1.0
Monitoring Satgas RAFI Dashboard Pertamina,Data,12.0
Slicing Search topic feature on page topics,Development,8.0
Slicing  Counter on page forgot password on page forgotpassword,Development,8.0
Testing fixing pentesting,Development,8.0
slicing modal rename group,Development,2.0
slicing header  table,Development,8.0
create monitoring document,Development,2.0
Explore testing bigbuilder,Development,3.0
User Journey Figma Design,Design,8.0
Membuat Question PDB perkapita atas dasar harga berlaku menurut provinsi,Development,8.0
Endpoint Riwayat Jabatan Detail,Development,4.0
Design Executive View BigVision,Design,8.0
Meeting  diskusi keperluan website untuk rebranding Review konten,"Sales, Marketing & Community",8.0
Meeting Internal Timeline Rebranding Bigbox AI Website,Technical Support,3.0
Sosialisasi Report Sales,Technical Support,1.0
 Discuss LOP Ikha,Development,3.0
 Meeting solusi dasboard stunting,"Sales, Marketing & Community",5.0
 Seminar Vokasi UNS Solo,"Sales, Marketing & Community",4.0
Checkpoin dengan DMM terkait Workshop BUMN,Technical Support,1.0
 Discuss dashboard BNPB,Development,4.0
 Meeting Pemkab Kulonprogo,"Sales, Marketing & Community",2.0
Collect Sales  Delivery Report,Technical Support,8.0
Chatbot yang bisa memberikan link cataloh service saat user bertanya,Development,1.0
slicing deactivate user managemen,Development,7.0
Peseta workshop rinaldy,Development,4.0
SQL Editor  validasi query menjadi invalid ketika terdapat space enter dan tab,Development,8.0
Portlet Custom  Visual data transform filter tidak muncul pada portlet custom,Development,8.0
Smoke testing sprint ,Development,8.0
Create EKYC Journey,Technical Support,3.0
Meeting Technology for delivery executive summary cctv,Development,4.0
add new connection option for postgresql,Development,8.0
QA Functionality BigSearch,Development,8.0
 Juni Penyesuaian design list connection,Design,1.0
FU vendor kebutuhan bigspider,Finance,2.0
Koordinasi Data Sales BSP,"Sales, Marketing & Community",3.0
Support Meeting Sales,Finance,4.0
Drafting PR Bigspider,Finance,2.0
Slicing Demografi Berdasarkan Jenis Kelamin,Development,8.0
Integrasi Demografi Berdasarkan Kategori Umur,Development,8.0
Integrasi Top  Kota,Development,8.0
Integrasi Kualifikasi Pekerjaan,Development,8.0
Slicing Top  Industri,Development,8.0
regsosek selasa  juni   stand up  fu pembuatan dm untuk loker pembuatan dashboard cors api bigenv,Project Manager,2.0
regsosek mapping update spec and storage ke service yang baru,Project Manager,3.0
mentawai jumat  juni   stand up,Project Manager,1.0
lumajang cek bigview pariwisata lumajang apakah sudah masuk atau belum data pariwisatanya,Project Manager,0.5
regsosek input credentials gpu,Project Manager,1.0
regsosek fu issue bigbuilder error when create  edit dashboard apps,Project Manager,2.0
Add logic Zend Class model,Development,2.0
Update color picker,Development,1.0
API  Create API counter on page forgotpassword,Development,8.0
Deployment on Production,Development,8.0
 Membuat report bahan weekly meeting dengan DMM,"Sales, Marketing & Community",8.0
Design Revision v,Design,8.0
Membuat Question Proporsi Kontribusi,Development,8.0
Membuat Question upah rata rata perjam pekerja berdasarkan provinsi,Development,8.0
Early Pentest Report Modul Bigbuilder dan Bigaction,Technical Support,1.0
Fixing bug pelaksanaan restore to previous,Development,1.0
Backend add config timeout envoy proxy,Development,7.0
meeting testing open camera SDK bimasakti,Development,2.0
Page Editor  Visual Data Transform Filter tidak muncul pada page editor,Development,8.0
Meeting VAPT BigEnvelope BNPB,Development,3.0
Meeting Flow Consume  Publish for Requirement Pusdatin BNPB,Development,2.0
explore figma bigenvelope ,Development,2.0
Planning Sprint  Week  Jamal,Development,2.0
Testing Custom HTML  Social Media Analytic,Development,0.5
Datasources  terjadi error ketika pengguna memasukan backslash  ,Development,8.0
Create Test Scenario  Portlet Custom,Development,4.0
slicing table maps untuk superadmin,Development,8.0
Sales  Delivery Monthly Review,Project Manager,8.0
Support  Update Privy BSP,"Sales, Marketing & Community",3.0
 Meeting Solusi CCTV AI DPU Bina marga,"Sales, Marketing & Community",3.0
 Meeting Sosial Media Humas Polda Kepulauan Riau,"Sales, Marketing & Community",4.0
Integrasi Status Pendidikan,Development,8.0
Integrasi Program Bantuan,Development,8.0
Scrap From jobstreet,Data,8.0
API Verifikasi Potensi Bahaya Banjir,Data,3.0
other ngisi progress delivery ppt,Project Manager,1.0
regsosek eskalasi issue kodingan hilang di bigbuilder,Project Manager,2.0
regsosek rabu  juni   discuss briefing slide with ai,Project Manager,0.5
pasuruan check readiness bigmarket,Project Manager,1.0
regsosek cari spek gpu,Project Manager,1.0
Modelling Prediksi Pertumbuhan Pendidikan Kualifikasi Guru di Jawa Barat,Data,8.0
Weekly Bug Fixing Dashboard Digitalisasi SPBU,Data,4.0
Fixing Issue data benzine tidak naik dasboard,Data,3.0
update schema create iceberg,Development,4.0
Meeting koordinasi arsitektur BPKP,Development,5.0
Membuat Dashboard pendidikan page partisipasi pendidikan dan pelatihan,Development,8.0
Workshop  pembuatan Tagline serta Testimoni untuk rebranding,"Sales, Marketing & Community",12.0
Crawling URL untuk Jawaban Chatbot,Data,10.0
 Koordinasi Visit Kalimantan Tengah,"Sales, Marketing & Community",4.0
Standby Workshop BUMN,Technical Support,8.0
 Meeting bigview lumajang,"Sales, Marketing & Community",3.0
 Sales  Delivery Monthly Review,"Sales, Marketing & Community",8.0
 Meeting User need Pemkot Balikpapan,"Sales, Marketing & Community",8.0
Preparing Event Workshop BUMN,Technical Support,8.0
 Contac Us   Integration API,Development,2.0
API Tabel hasil prediksi bencana,Data,3.0
Merubah wording List Tamplate Nota dinas,Development,1.0
Modelling Kepemilikan Lab,Data,12.0
update handling tipe portlet baru portlet custom,Development,3.0
Portlet Custom  visual menjadi menghilang ketika pengguna melakukan run terlebih dahulu,Development,8.0
Pages  custom page pada tampilan list tidak menampilkan icon nya,Development,4.0
Create Test Script  Connection,Development,4.0
Revisi Dokumen Juklak Juknis,Technical Support,8.0
Meeting VMS Kaltim,Technical Support,2.0
Create Userguide VMS Polda Kaltim,Technical Support,3.0
Membuat video Dokumentasi Facepad,Technical Support,4.0
Meeting Pembahasan KAI,Technical Support,2.0
QA Functionality BigSpider,Development,8.0
Support OKR BSP,Finance,3.0
Support Booth BigBox,"Sales, Marketing & Community",2.0
Integrasi Top  Wilayah,Development,8.0
other sabtu  juni   coursera final test modul ,Project Manager,3.0
regsosek check script dari tim CRM untuk video,Project Manager,1.0
lumajang create akun bigsocial lumajang untuk kominfo,Project Manager,1.0
other check jira dyla  invite anak anak ke jira yg di peruntukkan,Project Manager,2.0
regsosek check prepare demo ic bigvision,Project Manager,1.0
regsosek cek dashboard loker untuk persiapan demo on bigbuilder,Project Manager,1.0
polda kaltim eskalasi ke mas akas terkait siapa yang akan berangkat fix nya,Project Manager,2.0
corcomm rabu  juni   Troubleshot issue emotion analytics dan SNA,Project Manager,2.0
regsosek kamis  juni   discuss report ke pintarin,Project Manager,2.0
Add logic common sql,Development,2.0
creating Entity database,Development,2.0
Discuss analisa page Lkpp,Development,3.0
Report On Schedule KPU  Juni   Juni,Data,4.0
API  Unregistered email on page forgotpassword,Development,4.0
QA Search topic feature on page topics,Development,8.0
Endpoint Pegawai Singkat,Development,4.0
Membuat Question Anak Usia  tahun yang bekerja berdasarkan provinsi,Development,8.0
Membuat Question SIMA PKPT Pelaksanaan,Development,8.0
BNPB Diskusi Penyiapan Data ESDM PUSDATIN,Data,2.0
belum terdapat halaman new user saat membuka connection,Development,5.0
Designing User Journey,Design,8.0
Meeting LPR for EV and non EV,Technical Support,2.0
meeting laporan pasca present kalimantan  persiapan pulang,Development,8.0
Collecting video Anomaly,Technical Support,5.0
Create API jenis dan metode penyedia,Development,2.0
Explore tracking map menggunakan Leaflet,Development,8.0
Transfer Knowledge Bigone development,Project Manager,8.0
Transfer Knowledge BigEnvelope Regsosek,Project Manager,8.0
Meeting pembuatan storyline  pembuatan konten plan,"Sales, Marketing & Community",10.0
 Meeting  diskusi project rebranding  review content video regsosek  kordinasi budget marketing untuk video marketing,"Sales, Marketing & Community",11.0
Koordinasi ID LOP,Technical Support,8.0
 Pembuatan proposal teknis Magetan,"Sales, Marketing & Community",2.0
 Meeting solusi PHRI Bigbox X Finnet,"Sales, Marketing & Community",4.0
 Prepare Delivery Polda Kalimantan TImur BigSocial,"Sales, Marketing & Community",4.0
 Discuss Kontrak Pemkab Mentawai,"Sales, Marketing & Community",4.0
 Prepare KKP Bandung,Development,2.0
Slicing Top  Wilayah,Development,8.0
other senin  juni   coursera bab  modul ,Project Manager,3.0
regsosek check hasil bigbuilder mas abas,Project Manager,2.0
regsosek jumat  juni   solving issue cors bigbuilderbigenvelope yang masih blm solved,Project Manager,2.0
lumajang hitung progress scurve,Project Manager,1.0
corcomm kamis  juni   kawal deployment after fixing sna issue,Project Manager,2.0
regsosek selasa  juni   discuss persiapan demo dashboard loker,Project Manager,2.0
regsosek rabu  juni  discuss with ae terkait scope project,Project Manager,2.0
pasuruan selasa  juni   discuss delivery bigview dan bigmarket,Project Manager,1.0
regsosek rekap credentials access infra baru kalau sudah ada  cara ssh tunneling,Project Manager,1.0
mentawai cek figma,Project Manager,1.0
mentawai kamis  juni   stand up,Project Manager,1.0
corcomm jumat  juni  discuss update crawler instagram,Project Manager,1.0
regsosek japri ke grup bahwa all platform sudah selesai di install dan butuh vpn serta ssl,Project Manager,1.0
Update Dokumen Credential Update BNPB,Technical Support,3.0
testing page datalake,Development,8.0
Design Exploration Executive Dashboard,Design,8.0
Sprint planning dan review bigbuilder,Development,2.0
Meeting hasil pentest bigsearch,Development,2.0
Meeting planning bigbuilder,Development,2.0
explore nifi ingest data from api,Development,8.0
Membuat Dashboard pendidikan page angka melek aksara,Development,8.0
Kordinasi pengisian feedback DPS,"Sales, Marketing & Community",8.0
Kordinasi pembuatan video marketing dengan tim produk  Pembuatan konsep video,"Sales, Marketing & Community",10.0
Create ppt aplikasi pemadanan regsosek,Technical Support,2.0
 Meeting RSUP Soeradji,"Sales, Marketing & Community",2.0
 Meeting Pengadaan UMY,"Sales, Marketing & Community",2.0
 Meeting Implementasi Bigview UMY,"Sales, Marketing & Community",2.0
 Contact Us   add form validation,Development,4.0
explore and research sidemenu,Development,8.0
Ingest from Geoportal Data Bencana,Data,8.0
Modelling Kondisi Toilet Siswa,Data,8.0
Stored XSS in Edit API,Development,4.0
Peserta workshop Dhyla,Design,4.0
Testing Custom HTML  Natural,Development,0.5
Smoke Testing Bigbuilder Version ,Development,6.0
Merapihkan Dokumen Proposal  Analisa CCTV menggunakan Artificial Intelligence,Technical Support,4.0
Mencari Video Indonesia Anomaly Activities,Technical Support,4.0
Backend add go routine to func savelog,Development,8.0
Backend fixing query date range with UTC zone jakarta,Development,5.0
QA Dashboard Lapangan Pekerjaan,Development,8.0
Add gitlabci for auto testing,Development,3.0
Fu list produk untuk juskeb posindo,Finance,2.0
fu apraisal pb juni ,Finance,2.0
Integrasi Klasifikasi Perusahaan,Development,8.0
other selasa  juni   discuss integrasi Data Virtualization Denodo untuk PDP,Project Manager,2.0
regsosek kamis  juni   discuss issue cors bigbuilder,Project Manager,2.0
regsosek solving issue bigbuilder tabel di ss belum update,Project Manager,2.0
regsosek cek  evaluasi script video crm,Project Manager,2.0
other bikin dod untuk pm,Project Manager,3.0
regsosek cek data loker db on postgre,Project Manager,1.0
polda kaltim selasa  juni   discuss persiapan keberangkatan ke kalimantan timur,Project Manager,1.0
lumajang koordinasi nomer surat ke viana,Project Manager,0.25
regsosek solving bigbuilder ketika bikin pie chart ngga bisa,Project Manager,1.0
Create first try card jenis pengadaaan penyedia perencanaan,Development,4.0
Integrasi  Counter on page signup,Development,8.0
QA SNA on dashboard BigSocial,Development,1.0
Design Exploration v,Design,8.0
Membuat Dashboard pendidikan page angka anak tidak sekolah,Development,8.0
